recon_key,ar_count,bank_count,key_match,amount_match,currency_match,customer_match,date_match,duplicate_ar,duplicate_bank,final_status,exception_reason,action
2960570925,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,EXCEPTION,Date discrepancy,For Investigation
1929995614,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,MATCHED,,
1930411415,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,EXCEPTION,Date discrepancy,For Investigation
1929769711,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,EXCEPTION,Customer discrepancy; Date discrepancy,For Investigation
2960576462,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,EXCEPTION,Date discrepancy,For Investigation
1991828985,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,EXCEPTION,Date discrepancy,For Investigation
1928930475,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,EXCEPTION,Date discrepancy,For Investigation
1929902956,2,1,TRUE,,,,,TRUE,FALSE,EXCEPTION,Duplicate AR Entry,For Investigation
1929867162,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,MATCHED,,
1929533386,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,MATCHED,,
1930009555,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,MATCHED,,
1930467548,2,1,TRUE,,,,,TRUE,FALSE,EXCEPTION,Duplicate AR Entry,For Investigation
1929137744,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,MATCHED,,
1929559748,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,EXCEPTION,Date discrepancy,For Investigation
1929796428,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,MATCHED,,
1930049177,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,EXCEPTION,Date discrepancy,For Investigation
1930281379,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,EXCEPTION,Date discrepancy,For Investigation
1929972526,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,EXCEPTION,Date discrepancy,For Investigation
1928958124,1,1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,EXCEPTION,Currency discrepancy; Date discrepancy,For Investigation
